dataset,agent,fact_limit,correct,total,accuracy,unknown_count,quiz_time_sec
greater_chain_large,SimpleAgent,5,0,500,0,500,0.130512
greater_chain_large,RandomAgent,5,0,500,0,500,0.133
greater_chain_large,ImportanceAgent,5,0,500,0,500,0.127049
greater_chain_large,FOLCompressionAgent,5,0,500,0,500,0.691119
greater_chain_large,SimpleAgent,10,0,500,0,500,0.176321
greater_chain_large,RandomAgent,10,0,500,0,500,0.172428
greater_chain_large,ImportanceAgent,10,0,500,0,500,0.172165
greater_chain_large,FOLCompressionAgent,10,0,500,0,500,1.605377
greater_chain_large,SimpleAgent,15,0,500,0,500,0.211259
greater_chain_large,RandomAgent,15,0,500,0,500,0.205207
greater_chain_large,ImportanceAgent,15,0,500,0,500,0.202673
greater_chain_large,FOLCompressionAgent,15,1,500,0.002,499,7.459939
greater_chain_large,SimpleAgent,20,0,500,0,500,0.254942
greater_chain_large,RandomAgent,20,1,500,0.002,499,0.243255
greater_chain_large,ImportanceAgent,20,0,500,0,500,0.252598
greater_chain_large,FOLCompressionAgent,20,2,500,0.004,498,13.901155
greater_chain_large,SimpleAgent,30,2,500,0.004,498,0.35998
greater_chain_large,RandomAgent,30,1,500,0.002,499,0.327716
greater_chain_large,ImportanceAgent,30,0,500,0,500,0.315845
greater_chain_large,FOLCompressionAgent,30,8,500,0.016,492,16.442627
greater_chain_large,SimpleAgent,40,3,500,0.006,497,0.434304
greater_chain_large,RandomAgent,40,2,500,0.004,498,0.388164
greater_chain_large,ImportanceAgent,40,0,500,0,500,0.377542
greater_chain_large,FOLCompressionAgent,40,31,500,0.062,469,36.359576
greater_chain_large,SimpleAgent,52,3,500,0.006,497,0.483384
greater_chain_large,RandomAgent,52,3,500,0.006,497,0.477597
greater_chain_large,ImportanceAgent,52,3,500,0.006,497,0.461845
greater_chain_large,FOLCompressionAgent,52,500,500,1,0,0.033291
mixed_chain_small,SimpleAgent,5,3,75,0.04,72,0.028816
mixed_chain_small,RandomAgent,5,2,75,0.026667,73,0.028535
mixed_chain_small,ImportanceAgent,5,2,75,0.026667,73,0.030345
mixed_chain_small,FOLCompressionAgent,5,13,75,0.173333,62,0.02955
mixed_chain_small,SimpleAgent,10,6,75,0.08,69,0.033941
mixed_chain_small,RandomAgent,10,6,75,0.08,69,0.033281
mixed_chain_small,ImportanceAgent,10,3,75,0.04,72,0.032891
mixed_chain_small,FOLCompressionAgent,10,15,75,0.2,60,0.50434
mixed_chain_small,SimpleAgent,15,9,75,0.12,66,0.042005
mixed_chain_small,RandomAgent,15,8,75,0.106667,67,0.039333
mixed_chain_small,ImportanceAgent,15,5,75,0.066667,70,0.040836
mixed_chain_small,FOLCompressionAgent,15,17,75,0.226667,58,0.887358
mixed_chain_small,SimpleAgent,20,11,75,0.146667,64,0.044871
mixed_chain_small,RandomAgent,20,10,75,0.133333,65,0.040172
mixed_chain_small,ImportanceAgent,20,7,75,0.093333,68,0.042191
mixed_chain_small,FOLCompressionAgent,20,19,75,0.253333,56,1.021691
mixed_chain_small,SimpleAgent,30,15,75,0.2,60,0.053352
mixed_chain_small,RandomAgent,30,16,75,0.213333,59,0.047488
mixed_chain_small,ImportanceAgent,30,13,75,0.173333,62,0.047523
mixed_chain_small,FOLCompressionAgent,30,44,75,0.586667,31,2.731435
mixed_chain_small,SimpleAgent,40,19,75,0.253333,56,0.066401
mixed_chain_small,RandomAgent,40,19,75,0.253333,56,0.056768
mixed_chain_small,ImportanceAgent,40,19,75,0.253333,56,0.055207
mixed_chain_small,FOLCompressionAgent,40,75,75,1,0,0.005665
divisibility_chain_large,SimpleAgent,5,0,223,0,223,0.083317
divisibility_chain_large,RandomAgent,5,0,223,0,223,0.081553
divisibility_chain_large,ImportanceAgent,5,0,223,0,223,0.09177
divisibility_chain_large,FOLCompressionAgent,5,1,223,0.004484,222,0.674365
divisibility_chain_large,SimpleAgent,10,0,223,0,223,0.099138
divisibility_chain_large,RandomAgent,10,0,223,0,223,0.093885
divisibility_chain_large,ImportanceAgent,10,0,223,0,223,0.094291
divisibility_chain_large,FOLCompressionAgent,10,1,223,0.004484,222,0.706585
divisibility_chain_large,SimpleAgent,15,0,223,0,223,0.146243
divisibility_chain_large,RandomAgent,15,0,223,0,223,0.112145
divisibility_chain_large,ImportanceAgent,15,0,223,0,223,0.114104
divisibility_chain_large,FOLCompressionAgent,15,2,223,0.008969,221,3.360672
divisibility_chain_large,SimpleAgent,20,0,223,0,223,0.138024
divisibility_chain_large,RandomAgent,20,0,223,0,223,0.126228
divisibility_chain_large,ImportanceAgent,20,0,223,0,223,0.150205
divisibility_chain_large,FOLCompressionAgent,20,11,223,0.049327,212,13.398428
divisibility_chain_large,SimpleAgent,30,1,223,0.004484,222,0.876631
divisibility_chain_large,RandomAgent,30,2,223,0.008969,221,0.833399
divisibility_chain_large,ImportanceAgent,30,0,223,0,223,0.892679
divisibility_chain_large,FOLCompressionAgent,30,36,223,0.161435,187,33.836948
divisibility_chain_large,SimpleAgent,40,2,223,0.008969,221,0.96416
divisibility_chain_large,RandomAgent,40,3,223,0.013453,220,0.715243
divisibility_chain_large,ImportanceAgent,40,0,223,0,223,0.724945
divisibility_chain_large,SimpleAgent,47,3,223,0.013453,220,0.977792
divisibility_chain_large,RandomAgent,47,3,223,0.013453,220,1.166827
divisibility_chain_large,ImportanceAgent,47,3,223,0.013453,220,1.076829
divisibility_chain_large,FOLCompressionAgent,47,223,223,1,0,0.080588
divisibility_chain_large,FOLCompressionAgent,40,111,223,0.497758,112,716.539002
divisibility_chain_large,FOLCompressionAgent,40,111,223,0.497758,112,651.18936
